pt,int,hz,ppm
1,2981330,7468.23,98.9169
2,3020310,7469.69,98.9363
3,3059280,7471.16,98.9558
4,3098260,7472.63,98.9752
5,3137230,7474.1,98.9947
6,3176210,7475.57,99.0141
7,3215190,7477.03,99.0336
8,3254160,7478.5,99.053
9,3293140,7479.97,99.0725
10,3332110,7481.44,99.0919
11,3371090,7482.91,99.1114
12,3410060,7484.38,99.1308
13,3449040,7485.84,99.1502
14,3488020,7487.31,99.1697
15,3526990,7488.78,99.1891
16,3565970,7490.25,99.2086
17,3604940,7491.72,99.228
18,3643920,7493.18,99.2475
19,3682900,7494.65,99.2669
20,3721870,7496.12,99.2864
21,3760850,7497.59,99.3058
22,3799820,7499.06,99.3253
23,3838800,7500.52,99.3447
24,3877780,7501.99,99.3641
25,3909110,7503.46,99.3836
26,3939690,7504.93,99.403
27,3970260,7506.4,99.4225
28,4000840,7507.87,99.4419
29,4031420,7509.33,99.4614
30,4061990,7510.8,99.4808
31,4092570,7512.27,99.5003
32,4123150,7513.74,99.5197
33,4153720,7515.21,99.5392
34,4184300,7516.67,99.5586
35,4214880,7518.14,99.578
36,4245450,7519.61,99.5975
37,4276030,7521.08,99.6169
38,4306610,7522.55,99.6364
39,4337180,7524.02,99.6558
40,4367760,7525.48,99.6753
41,4398340,7526.95,99.6947
42,4428910,7528.42,99.7142
43,4459490,7529.89,99.7336
44,4490070,7531.36,99.7531
45,4520640,7532.82,99.7725
46,4551220,7534.29,99.7919
47,4581800,7535.76,99.8114
48,4592080,7537.23,99.8308
49,4597250,7538.7,99.8503
50,4602430,7540.16,99.8697
51,4607600,7541.63,99.8892
52,4612780,7543.1,99.9086
53,4617950,7544.57,99.9281
54,4623130,7546.04,99.9475
55,4628300,7547.51,99.967
56,4633480,7548.97,99.9864
57,4638650,7550.44,100.006
58,4643830,7551.91,100.025
59,4649000,7553.38,100.045
60,4654180,7554.85,100.064
61,4659350,7556.31,100.084
62,4664530,7557.78,100.103
63,4669700,7559.25,100.123
64,4674880,7560.72,100.142
65,4680050,7562.19,100.161
66,4685230,7563.65,100.181
67,4690400,7565.12,100.2
68,4695580,7566.59,100.22
69,4700750,7568.06,100.239
70,4705930,7569.53,100.259
71,4708270,7571,100.278
72,4709240,7572.46,100.298
73,4710200,7573.93,100.317
74,4711170,7575.4,100.336
75,4712130,7576.87,100.356
76,4713100,7578.34,100.375
77,4714060,7579.8,100.395
78,4715030,7581.27,100.414
79,4716000,7582.74,100.434
80,4716960,7584.21,100.453
81,4717930,7585.68,100.473
82,4718890,7587.14,100.492
83,4719860,7588.61,100.511
84,4720830,7590.08,100.531
85,4721790,7591.55,100.55
86,4722760,7593.02,100.57
87,4723720,7594.49,100.589
88,4724690,7595.95,100.609
